Hsp60C CG31740 1.0 58
CG3071 CG9799 0.9664912 120
CG12301 wcd 0.96649116 120
CG8064 CG7246 0.9664911 120
CG30349 CG2875 0.96649075 120
CG8064 CG12301 0.9664906 120
CG30349 CG11920 0.9664878 120
CG11920 CG13097 0.9664869 120
CG7728 CG12050 0.96648514 120
CG7338 l(3)72Dn 0.96648455 120
CG11920 l(3)07882 0.96648455 120
CG3071 l(3)72Dn 0.9664836 120
CG2260 l(2)k09022 0.9664803 120
CG30349 bys 0.9664801 120
CG11920 wcd 0.9664782 120
CG11920 CG8064 0.9664764 120
CG30349 CG12301 0.9664747 120
CG2260 l(3)07882 0.96647465 120
CG2260 CG13097 0.96647453 120
CG30349 CG7246 0.96647364 120
CG3071 l(2)k09022 0.96647155 120
CG7246 CG7338 0.96647155 120
CG11920 bys 0.9664697 120
CG2260 wcd 0.96646965 120
CG13097 CG7338 0.96646625 120
CG1671 CG12050 0.9664661 120
CG2875 bys 0.96646607 120
CG2260 CG8064 0.9664657 120
CG3071 CG13097 0.9664642 120
CG3071 l(3)07882 0.9664638 120
CG11920 CG7338 0.96646017 120
CG2875 CG7246 0.9664597 120
nop5 CG7338 0.96645916 120
CG3071 wcd 0.9664575 120
CG9799 CG7338 0.96645725 120
CG9799 CG12050 0.96645695 120
CG8064 CG7338 0.96645653 120
wcd CG7338 0.9664565 120
CG3071 CG8064 0.9664549 120
CG12050 l(3)72Dn 0.96645063 120
CG12301 bys 0.9664495 120
CG7246 bys 0.9664481 120
CG12050 bys 0.96644706 120
l(2)k09022 CG12050 0.9664391 120
CG7338 Nop56 0.96643627 120
CG7338 l(3)07882 0.9664334 120
CG12050 l(3)07882 0.9664311 120
CG13097 CG12050 0.966431 120
CG11920 CG12301 0.96642786 120
CG7728 CG7338 0.966427 120
CG2875 CG12301 0.9664252 120
CG12050 wcd 0.9664241 120
CG2260 bys 0.9664223 120
CG8064 CG12050 0.96642214 120
CG2260 CG12301 0.966415 120
CG11920 CG2875 0.96641314 120
CG3071 bys 0.96641284 120
CG2260 CG30349 0.9664127 120
CG2260 CG7338 0.96641153 120
CG7246 CG12301 0.9664084 120
CG3071 CG12301 0.9664072 120
CG30349 CG3071 0.9664051 120
CG2260 CG11920 0.96640384 120
CG3071 CG7338 0.96640146 120
CG2260 CG2875 0.96640116 120
CG11920 CG7246 0.9663928 120
CG3071 CG2875 0.9663898 120
CG2260 CG7246 0.9663873 120
CG3071 CG7246 0.9663771 120
CG12301 CG12050 0.96637565 120
CG30349 CG12050 0.96637297 120
CG12050 CG7338 0.966372 120
CG5728 CG7338 0.9663692 120
CG2875 CG12050 0.96635634 120
CG11920 CG3071 0.9663556 120
CG2260 CG3071 0.9663509 120
CG7246 CG12050 0.9663429 120
CG30349 CG7338 0.9663425 120
CG12301 CG7338 0.9663419 120
l(2)k09022 CG7338 0.96633613 120
CG11920 CG12050 0.9663228 120
CG2260 CG12050 0.9663162 120
CG3071 CG12050 0.966309 120
CG2875 CG7338 0.96628916 120
bys CG7338 0.966251 120
l(1)G0020 CG5728 0.96620935 120
l(1)G0020 Nop56 0.9661757 120
l(1)G0020 CG13097 0.96617144 120
CG30349 l(1)G0020 0.96615344 120
l(1)G0020 CG2875 0.966132 120
nop5 l(1)G0020 0.96613145 120
CG12325 l(1)G0020 0.9661092 120
CG7338 CG13096 0.9660854 120
l(1)G0020 bys 0.96608275 120
CG3071 l(1)G0020 0.96607184 120
l(1)G0020 CG9799 0.9660628 120
CG7728 l(1)G0020 0.9660602 120
l(1)G0020 CG8064 0.9660596 120
