Hsp60C CG31740 1.0 58
Rtc1 l(3)07882 0.9348984 118
loopin-1 Mst77F 0.9348951 62
CG12301 Fib 0.93488866 118
CG2875 Fib 0.93486136 118
CG17377 CG2127 0.9348549 62
CG18662 CG9920 0.93484735 62
CG9920 CG33340 0.9348411 62
S-Lap8 S-Lap4 0.9348297 62
Mst98Ca CG12699 0.9348291 62
Fib Nop56 0.9348264 118
Mst98Ca Mst77F 0.93481934 62
bys Fib 0.9347961 118
nop5 Fib 0.9347784 118
S-Lap7 CG15219 0.9347781 62
CG12699 CG15219 0.9347767 62
CG1394 loopin-1 0.9347767 62
Mst98Ca S-Lap7 0.93477476 62
CG12050 Fib 0.9347696 118
CG7728 CG5589 0.9347613 118
S-Lap8 CG15219 0.93475056 62
loopin-1 S-Lap4 0.93475 62
CG10252 CG15219 0.93474704 62
CG5089 CG18662 0.9347314 62
CG3527 wcd 0.9347262 118
CG8701 CG10252 0.93471974 62
S-Lap7 CG4691 0.93471485 62
CG7246 Fib 0.934708 118
CG8064 Fib 0.9347064 118
Rtc1 CG9799 0.934701 118
Mst77F CG15219 0.9346959 62
CG14926 CG12699 0.9346908 62
CG1394 S-Lap7 0.93468547 62
CG8701 S-Lap4 0.9346827 62
S-Lap7 Mst77F 0.93467265 62
CG9107 CG1789 0.9346694 112
Rtc1 CG7246 0.9346653 118
loopin-1 CG33340 0.9346469 62
CG3071 Fib 0.9346407 118
CG4691 CG12699 0.93463874 62
S-Lap7 CG14926 0.9346284 62
CG10252 ocn 0.9346172 62
CG2127 S-Lap7 0.9346155 62
CG18662 CG12699 0.93461066 62
Mst98Ca CG10252 0.9346037 62
CG12699 Mst77F 0.9345981 62
Fib l(3)07882 0.93459386 118
CG9920 Mst77F 0.9345881 62
l(1)G0020 CG9253 0.93458337 118
CG17377 ocn 0.9345742 62
CG8701 CG33340 0.93457216 62
S-Lap7 CG10252 0.9345694 62
CG1394 CG15219 0.9345686 62
CG9920 S-Lap4 0.9345675 62
CG2127 ocn 0.93455845 62
CG2127 Mst77F 0.9345547 62
l(2)k09022 Fib 0.9345488 118
CG2127 CG12699 0.93454856 62
Rtc1 wcd 0.93454766 118
l(1)G0004 kz 0.9345357 118
S-Lap8 loopin-1 0.9345339 62
S-Lap7 S-Lap4 0.93452746 62
CG3071 Rtc1 0.93451995 118
CG5589 CG12301 0.9345107 118
CG12325 Fib 0.9345084 118
CG4554 CG4866 0.9345057 118
CG3527 Nop56 0.9344819 118
CG1394 CG12699 0.9344796 62
CG8701 S-Lap8 0.93445635 62
CG12699 S-Lap4 0.9344528 62
CG2875 CG3527 0.9344364 118
nop5 CG3527 0.9344344 118
CG12301 CG3527 0.9344328 118
CG3527 bys 0.9344318 118
Rtc1 CG8064 0.9344303 118
Dbp45A bys 0.9344261 118
CG33506 Sas10 0.93441594 118
Rtc1 CG12050 0.934406 118
CG12050 CG3527 0.93439233 118
Mst98Ca CG33340 0.9343918 62
S-Lap8 Mst77F 0.9343908 62
CG13097 Fib 0.93438697 118
CG10252 Mst77F 0.9343827 62
CG2875 CG5589 0.93437564 118
CG2127 loopin-1 0.93437403 62
CG5728 Fib 0.9343719 118
CG17377 CG33340 0.9343643 62
Rtc1 CG5589 0.93436414 116
l(1)G0020 Dbp45A 0.9343636 118
nop5 Rtc1 0.93436027 118
Mst98Ca S-Lap4 0.9343599 62
CG10252 CG4691 0.9343587 62
CG7728 Rtc1 0.93435144 118
S-Lap8 CG9920 0.9343495 62
CG8064 CG3527 0.9343453 118
CG7246 CG3527 0.9343403 118
CG33340 CG15219 0.93433845 62
CG2972 CG7338 0.93433183 118
CG4691 S-Lap4 0.9343283 62
CG7338 Fib 0.9343245 118
nop5 CG5589 0.9343217 118
CG14926 S-Lap4 0.93431735 62
bys CG9253 0.93430394 118
CG7728 CG9253 0.93430275 118
CG17377 loopin-1 0.93430084 62
CG5589 CG8064 0.9342983 118
CG7728 Dbp45A 0.9342912 118
CG5089 S-Lap7 0.93429106 62
CG1671 Fib 0.93428814 118
Mst77F S-Lap4 0.93428653 62
CG5089 CG12699 0.93427765 62
CG4691 CG14926 0.934274 62
CG10252 CG14926 0.93427265 62
l(1)G0020 CG2972 0.93427104 118
CG3071 CG3527 0.93426967 118
CG5589 l(3)07882 0.93426615 118
CG13245 loopin-1 0.9342661 62
Rtc1 Dbp45A 0.93426245 116
CG2127 CG10252 0.9342597 62
CG13097 CG5589 0.9342521 118
CG12325 Rtc1 0.9342474 118
Dbp45A CG13096 0.934244 118
CG4554 Sas10 0.9342391 118
CG2260 CG5589 0.93423843 118
CG2127 S-Lap4 0.9342324 62
Mst98Ca S-Lap8 0.9342303 62
CG3527 CG5728 0.934227 118
nop5 Dbp45A 0.93421954 118
CG1394 CG18662 0.9342135 62
CG33340 CG4691 0.9342065 62
CG9799 Fib 0.934199 118
CG1394 CG10252 0.93419266 62
CG5589 CG1671 0.93418497 118
l(2)k09022 CG3527 0.9341832 118
ocn CG12699 0.93418235 62
CG5589 wcd 0.9341815 118
CG4554 CG3735 0.93418056 118
CG12325 CG3527 0.9341734 118
CG4866 kz 0.9341706 118
kz Sas10 0.9341685 118
CG1394 S-Lap4 0.93416756 62
CG33340 Mst77F 0.9341642 62
CG9920 ocn 0.9341546 62
l(1)G0020 CG5589 0.9341482 118
CG17377 S-Lap7 0.93414176 62
CG17377 CG12699 0.9341404 62
CG9799 CG5589 0.9341333 118
CG2127 CG9920 0.9341311 62
CG33340 CG14926 0.9341208 62
l(2)35Df l(2)34Fd 0.9341133 112
CG5589 CG12050 0.9341055 118
CG13245 S-Lap7 0.9341043 62
CG2127 CG33340 0.93410105 62
CG13097 CG3527 0.9340972 118
CG13245 CG12699 0.93409616 62
S-Lap8 CG4691 0.93409306 62
CG12301 CG9253 0.93408996 118
S-Lap8 ocn 0.9340866 62
loopin-1 ocn 0.9340843 62
CG2875 CG9253 0.9340809 118
CG33506 l(1)G0004 0.93407893 118
S-Lap8 CG14926 0.9340753 62
l(1)G0020 Fib 0.93405354 118
CG3735 kz 0.93404365 118
CG5089 loopin-1 0.9340434 62
CG1394 CG33340 0.9340408 62
Rtc1 Fib 0.93403935 116
CG31948 S-Lap4 0.9340374 62
CG3527 l(3)07882 0.9340306 118
dbe kz 0.93402535 118
CG33506 dbe 0.93401927 118
CG7728 Fib 0.93401754 118
CG5089 CG10252 0.93400836 62
CG1394 S-Lap8 0.9340019 62
S-Lap8 CG2127 0.93398863 62
CG5089 S-Lap4 0.9339818 62
CG31948 loopin-1 0.9339807 62
CG3527 CG7338 0.93397284 118
Dbp45A l(3)07882 0.9339675 118
CG13097 CG9253 0.93395776 118
Dbp45A CG12301 0.9339445 118
ocn Mst77F 0.93394417 62
CG14926 CG15219 0.93390477 62
CG30349 Fib 0.93390286 118
Mst98Ca CG8701 0.9339014 62
CG1671 CG3527 0.93388635 118
Mst98Ca CG4691 0.9338862 62
Rtc1 Nop56 0.9338843 118
Dbp45A CG13097 0.9338837 118
CG8064 CG9253 0.93386817 118
CG4554 CG7275 0.9338566 118
CG14926 ocn 0.93383974 62
CG9799 CG3527 0.93382955 118
CG13245 CG10252 0.9338155 62
kz CG7275 0.9338074 118
CG8701 CG15219 0.93379253 62
CG5089 CG33340 0.9337841 62
CG5589 l(3)72Dn 0.9337808 118
CG2875 Dbp45A 0.9337717 118
CG9253 l(3)07882 0.9337701 118
Rtc1 CG5728 0.933765 118
CG12050 CG2972 0.93376446 118
CG9920 CG12699 0.9337586 62
CG31948 S-Lap7 0.9337528 62
CG12325 CG5589 0.9337497 118
l(2)k09022 CG2972 0.93374705 118
Mst98Ca loopin-1 0.93374586 62
CG5089 S-Lap8 0.93374056 62
Rtc1 l(3)72Dn 0.9337364 118
CG1394 CG9920 0.93372613 62
CG5589 CG5728 0.93372464 118
ocn CG15219 0.9337203 62
CG17377 CG10252 0.93371254 62
CG2260 Dbp45A 0.93370837 118
CG5089 Mst77F 0.9337028 62
CG7728 CG2972 0.9336987 118
CG18662 ocn 0.93369734 62
CG9799 CG9253 0.93369615 118
Rtc1 CG7338 0.93369335 118
Mst98Ca CG9920 0.93369323 62
Dbp45A CG8064 0.93369216 118
Mst98Ca CG15219 0.9336906 62
CG5589 Nop56 0.93369 118
Dbp45A CG5728 0.9336879 118
Dbp45A Nop56 0.93368703 118
CG17377 S-Lap4 0.9336823 62
wcd CG9253 0.9336811 118
CG33506 CG3735 0.9336767 118
CG9920 CG15219 0.9336697 62
CG31948 CG10252 0.9336631 62
CG5589 CG7246 0.93364745 118
CG4554 kz 0.9336467 118
CG3071 CG5589 0.93364537 118
CG2260 CG9253 0.9336326 118
l(3)72Dn Fib 0.93362933 118
CG18662 CG33340 0.9336244 62
CG33506 CG7275 0.9336186 118
CG5089 CG17377 0.9336177 62
CG1671 CG9253 0.93361586 118
CG17377 CG9920 0.9336092 62
CG4866 CG33506 0.93358326 118
Dbp45A CG1671 0.9335754 118
CG12050 CG9253 0.93357193 118
CG30349 CG5589 0.9335679 118
CG30349 CG3527 0.9335637 118
CG30349 Rtc1 0.9335615 118
CG9799 Dbp45A 0.933556 118
CG2127 CG14926 0.93355125 62
CG17377 CG1394 0.9335497 62
Dbp45A wcd 0.93354326 118
CG14926 Mst77F 0.9335367 62
CG5728 CG9253 0.9335349 118
CG8701 CG4691 0.9335206 62
CG7246 CG9253 0.93351424 118
CG8701 Mst77F 0.93351144 62
Dbp45A CG12050 0.9335058 118
CG17377 CG4691 0.93348867 62
nop5 CG9253 0.9334848 118
CG7728 CG3527 0.9334639 118
CG8701 CG2127 0.9334574 62
CG1394 Mst77F 0.9334561 62
CG18662 loopin-1 0.93341106 62
CG3071 CG9253 0.93341005 118
Dbp45A l(3)72Dn 0.93340975 118
CG3071 CG2972 0.93340814 118
CG8701 CG1394 0.9333995 62
CG5089 CG15219 0.93334323 62
CG9253 l(3)72Dn 0.9333358 118
Rtc1 CG13096 0.9333313 118
Rtc1 l(2)k09022 0.9333142 118
CG12325 CG9253 0.9332817 118
bys CG2972 0.93327653 118
CG4554 l(1)G0004 0.9332733 118
Rtc1 CG1789 0.93326926 114
Fib CG13096 0.9332629 118
Mst98Ca CG14926 0.93325526 62
U3-55K kz 0.93325317 118
CG5089 CG8701 0.9332478 62
CG3527 l(3)72Dn 0.9332343 118
CG1394 CG14926 0.93322796 62
CG2972 l(3)07882 0.9332243 118
CG4691 Mst77F 0.93322337 62
CG4554 dbe 0.93321806 118
CG1394 CG2127 0.9332036 62
CG18662 S-Lap7 0.93318206 62
l(2)k09022 CG5589 0.93318003 118
Dbp45A CG7246 0.933179 118
Mst98Ca CG2127 0.9331752 62
CG33506 Mat89Ba 0.9331635 120
l(2)k09022 CG9253 0.9331509 118
CG1671 CG2972 0.9331173 118
CG30349 Dbp45A 0.9330897 118
Rtc1 l(1)G0020 0.93307704 118
CG5589 CG13096 0.93307436 118
CG12301 CG2972 0.93307364 118
CG13245 CG9920 0.93307114 62
CG12325 Dbp45A 0.9330683 118
CG18662 S-Lap4 0.9330608 62
CG2127 CG4691 0.93303424 62
CG13245 ocn 0.9330304 62
l(2)k09022 Dbp45A 0.9330071 118
CG13097 CG2972 0.93300694 118
CG17377 CG14926 0.9330001 62
CG31948 CG33340 0.9329722 62
Mst98Ca CG5089 0.93297195 62
CG2127 CG13245 0.932953 62
CG3071 Dbp45A 0.93293875 118
CG9799 CG2972 0.9329239 118
CG17377 CG8701 0.93288845 62
CG18662 CG10252 0.93288594 62
CG30349 CG9253 0.9328611 118
CG9253 Nop56 0.93285394 118
CG8701 CG13245 0.93282604 62
CG3527 hoip 0.9328246 114
CG5089 CG4691 0.9328166 62
l(1)G0020 CG3527 0.93279785 118
S-Lap8 CG31948 0.9327818 62
CG31948 CG14926 0.93277264 62
CG30349 CG2972 0.9327593 118
CG18662 S-Lap8 0.93275696 62
CG1394 CG31948 0.93270546 62
CG5089 CG2127 0.9326824 62
Mst98Ca CG13245 0.932673 62
CG5089 CG13245 0.9326625 62
CG7246 CG2972 0.93263763 118
CG5089 CG1394 0.9326162 62
CG31948 ocn 0.93259406 62
Mst98Ca CG31948 0.9325651 62
CG3527 CG9253 0.93254286 116
CG2260 CG2972 0.93254066 118
CG3527 CG13096 0.9324855 118
CG11920 CG2972 0.932463 118
CG13245 CG4691 0.93245834 62
CG2875 CG2972 0.9323616 118
nop5 CG2972 0.93235844 118
CG8701 CG31948 0.9323562 62
CG8064 CG2972 0.9323505 118
CG2972 Nop56 0.93232584 118
CG2972 l(3)72Dn 0.9323123 118
wcd CG2972 0.93218166 118
CG12325 CG2972 0.9320897 118
CG17377 CG13245 0.9320606 62
CG18662 CG14926 0.9320533 62
CG9253 CG13096 0.9320502 118
CG18662 CG13245 0.9320075 62
CG31948 CG13245 0.93197805 62
Bka CG1789 0.93197757 110
CG31948 CG4691 0.93192357 62
CG31948 Mst77F 0.93191445 62
CG17376 S-Lap1 0.93182236 60
CG5728 CG2972 0.93175703 118
CG18662 CG15219 0.93168503 62
CG5089 CG31948 0.93157554 62
CG9107 Fib 0.9314157 114
CG5589 CG3527 0.931313 116
Dbp45A CG3527 0.93128085 116
CG9107 Rtc1 0.93097544 114
betaTub85D SIP2 0.9308481 58
CG33506 kz 0.9306345 118
hoip Fib 0.9304667 114
SIP2 Mst84Da 0.9297805 58
pit CG5033 0.92976576 108
betaTub85D Mst84Da 0.9296793 58
CG9246 CG5033 0.92815596 110
RpS13 RpS9 0.92793804 104
RpS9 RpS16 0.92756087 104
CG9246 CG8545 0.9273824 108
CG8545 pit 0.9252322 106
CG33506 CG9253 0.9249104 117
U3-55K CG9253 0.9238197 117
CG4866 CG2972 0.9234453 117
CG4866 CG1789 0.92333096 115
CG8545 CG5033 0.92275757 108
U3-55K Rtc1 0.9218244 117
kz Fib 0.9217822 117
CG9107 CG4866 0.9217021 115
U3-55K CG5589 0.921654 117
CG7275 CG2972 0.9215005 117
CG3735 CG2972 0.92136294 117
dbe CG2972 0.92120856 117
U3-55K Fib 0.9211903 117
l(1)G0004 CG2972 0.92116183 117
Sas10 CG2972 0.92107356 117
Rtc1 Mat89Ba 0.9209605 119
Mat89Ba Fib 0.92073965 119
CG33506 CG2972 0.9206864 117
U3-55K CG3527 0.9206562 117
CG5589 Mat89Ba 0.92058027 119
U3-55K Dbp45A 0.92041576 117
CG3527 Mat89Ba 0.92039967 119
Dbp45A Mat89Ba 0.9202131 119
U3-55K CG2972 0.9201423 117
Mat89Ba CG9253 0.9201309 119
CG3735 hoip 0.9200223 115
CG33506 Rtc1 0.9196976 117
CG33506 CG5589 0.9196746 117
CG3735 CG1789 0.91959685 115
CG7275 hoip 0.9193558 115
Mat89Ba CG2972 0.919297 119
Rtc1 kz 0.9192669 117
CG9246 l(2)34Fd 0.91900164 111
CG4554 CG9253 0.91899675 117
CG7275 CG1789 0.91897297 115
l(1)G0004 CG1789 0.9189556 115
CG4554 hoip 0.9188823 115
dbe CG1789 0.9187648 115
CG4554 Dbp45A 0.9184203 117
CG33506 Fib 0.9183584 117
CG4554 CG2972 0.91827667 117
CG4866 hoip 0.91803426 115
kz CG3527 0.917981 117
CG9107 CG3735 0.91795737 115
CG33506 Dbp45A 0.9179453 117
RpS9 Bka 0.9179211 107
l(1)G0004 hoip 0.91784894 115
CG33506 CG3527 0.91771036 117
Sas10 hoip 0.91769063 115
dbe hoip 0.9175825 115
Sas10 CG1789 0.9175335 115
CG4554 CG5589 0.91748273 117
CG4554 Rtc1 0.91701 117
CG9107 CG7275 0.91693544 115
CG9107 CG4554 0.9165809 115
CG9107 l(1)G0004 0.9163782 115
CG9107 Sas10 0.91620696 115
CG9107 dbe 0.9161676 115
l(2)35Df kz 0.9156711 115
RpS8 RpS9 0.915127 105
CG12861 loopin-1 0.91477644 63
CG12861 S-Lap7 0.91448593 63
CG12861 CG10252 0.91401744 63
CG12861 CG15219 0.91401136 63
CG12861 CG12699 0.9139451 63
CG12861 S-Lap8 0.91367877 63
CG12861 CG9920 0.913652 63
CG12861 CG33340 0.91337854 63
CG12861 ocn 0.9131797 63
Mst98Ca CG12861 0.9126647 63
CG12861 S-Lap4 0.9126148 63
RpS13 Bka 0.9125739 105
CG12861 CG8701 0.912427 63
CG12861 CG4691 0.9124174 63
RpS9 hoip 0.91241044 109
CG12861 Mst77F 0.91236556 63
Bka RpS16 0.9123512 105
CG12861 CG14926 0.9123085 63
CG12861 CG2127 0.91229177 63
CG12861 CG1394 0.9122696 63
CG12861 CG5089 0.9119337 63
CG5033 l(2)35Df 0.9119083 111
CG12861 CG13245 0.91166484 63
CG12861 CG17377 0.91164047 63
CG12861 CG31948 0.9107196 63
CG12861 CG18662 0.91045433 63
Mst98Ca CG17376 0.9100548 61
CG9107 Bka 0.9100141 110
l(2)35Df CG13096 0.90984714 116
Mst98Ca S-Lap1 0.9089003 61
CG5089 CG17376 0.9088645 61
CG17376 Mst77F 0.9087909 61
CG2127 S-Lap1 0.9084402 61
RpI135 pit 0.90829164 105
CG8545 l(2)34Fd 0.90819126 109
CG17376 CG31948 0.9079594 61
CG2972 Fib 0.907889 116
pit l(2)34Fd 0.9078197 109
CG3527 CG1789 0.90752506 114
CG17376 CG4691 0.90702504 61
CG31948 S-Lap1 0.9068147 61
CG17376 S-Lap8 0.90680707 61
CG9107 hoip 0.90669227 112
CG3527 CG2972 0.90666914 116
Rtc1 hoip 0.9066111 114
CG17376 CG33340 0.90595144 61
CG1394 S-Lap1 0.90594673 61
CG9107 CG2972 0.9058492 114
CG17376 S-Lap7 0.9058449 61
S-Lap8 S-Lap1 0.90583295 61
l(2)35Df l(1)G0020 0.9057871 116
l(2)34Fd CG13096 0.9057663 116
CG18662 S-Lap1 0.90564966 61
l(1)G0020 l(2)34Fd 0.905595 116
CG2260 CG1789 0.90552324 116
CG17376 loopin-1 0.90545124 61
loopin-1 S-Lap1 0.9053617 61
CG17376 CG10252 0.90530664 61
CG11920 CG1789 0.90524507 116
CG17376 CG8701 0.9051214 61
CG9920 S-Lap1 0.9050897 61
CG17376 CG9920 0.905025 61
S-Lap7 S-Lap1 0.90490264 61
CG33340 S-Lap1 0.9048806 61
CG11920 hoip 0.9048316 116
CG10252 S-Lap1 0.9047134 61
CG15219 S-Lap1 0.90470237 61
Mst77F S-Lap1 0.9046556 61
CG17376 CG13245 0.9045242 61
CG9107 CG11920 0.9045188 116
CG17376 CG15219 0.9043003 61
CG17376 CG2127 0.904284 61
CG7246 CG1789 0.9042595 116
CG12699 S-Lap1 0.90421164 61
ocn S-Lap1 0.9041211 61
CG3071 CG1789 0.9040979 116
CG17376 CG1394 0.9039129 61
CG17376 CG12699 0.90391004 61
CG13245 S-Lap1 0.90383935 61
CG17376 ocn 0.9037363 61
CG17377 S-Lap1 0.9037094 61
CG2972 CG1789 0.9036799 114
wcd CG1789 0.9036001 116
CG2875 CG1789 0.90357536 116
CG17377 CG17376 0.9035485 61
CG2260 hoip 0.903524 116
l(2)35Df CG7338 0.9035074 116
CG3071 hoip 0.9034797 116
CG9107 CG2260 0.90346694 116
bys CG1789 0.9034303 116
CG12050 CG1789 0.903421 116
CG17376 S-Lap4 0.90337074 61
CG9799 CG1789 0.90335876 116
hoip CG1789 0.9033405 112
CG13097 CG1789 0.90333927 116
S-Lap1 S-Lap4 0.90330935 61
CG9107 Dbp45A 0.9032195 114
CG1789 l(3)07882 0.9032027 116
CG17376 CG18662 0.9031541 61
CG12050 hoip 0.9031504 116
CG7246 hoip 0.90314394 116
CG1671 CG1789 0.9031201 116
Rtc1 Bka 0.9030526 112
CG14926 S-Lap1 0.9030215 61
bys hoip 0.90295476 116
CG8064 CG1789 0.9028779 116
CG17376 CG14926 0.90287715 61
Bka hoip 0.9028689 110
wcd hoip 0.9028042 116
Dbp45A CG1789 0.90271956 114
CG9107 CG9253 0.9026924 114
CG9107 RpS8 0.9026189 108
S-Lap1 Mst84Da 0.90258867 59
CG5089 S-Lap1 0.90255374 61
CG8064 hoip 0.90253264 116
CG9107 CG7246 0.9025079 116
CG31740 S-Lap1 0.9024791 59
CG8701 S-Lap1 0.9024681 61
CG2875 hoip 0.9024082 116
CG1789 l(3)72Dn 0.9023337 116
CG9107 wcd 0.90232617 116
CG9107 CG3071 0.9022905 116
CG12301 CG1789 0.90225387 116
CG12301 hoip 0.90225136 116
CG9799 hoip 0.90220803 116
CG9107 CG12050 0.9021749 116
CG7728 CG1789 0.90189177 116
CG4691 S-Lap1 0.9018772 61
CG12325 CG1789 0.90187603 116
CG13097 hoip 0.9018569 116
CG9107 CG12301 0.901855 116
hoip l(3)07882 0.90184146 116
l(2)35Df CG2972 0.9016884 114
CG5589 CG1789 0.9016844 114
CG9107 l(3)07882 0.9016198 116
CG1671 hoip 0.9016029 116
l(2)k09022 hoip 0.90156066 116
CG9107 CG2875 0.90155125 116
CG30349 hoip 0.90146667 116
l(2)k09022 CG1789 0.9014539 116
CG9107 CG13097 0.9014408 116
CG1789 Fib 0.90143895 114
CG9107 bys 0.9014243 116
CG12325 hoip 0.90136653 116
CG1789 CG7338 0.90124357 116
hoip l(3)72Dn 0.9012353 116
CG30349 CG1789 0.90123135 116
nop5 CG1789 0.90120953 116
CG9107 CG8064 0.9011915 116
CG5728 CG1789 0.9011116 116
hoip CG7338 0.90108335 116
CG7728 hoip 0.901012 116
hoip Nop56 0.9009066 116
nop5 CG9107 0.90089303 116
CG9107 l(2)k09022 0.9008714 116
CG1789 CG9253 0.90082663 114
CG1789 Nop56 0.9008156 116
CG9107 Nop56 0.9007958 116
nop5 hoip 0.90079117 116
CG9107 CG1671 0.9007307 116
CG9107 CG12325 0.9006868 116
CG5728 hoip 0.90064603 116
RpS8 Bka 0.9005437 106
CG9107 CG9799 0.9005426 116
betaTub85D CG17376 0.9005322 59
CG9107 CG5589 0.90048033 114
CG5589 hoip 0.9002669 114
CG9107 CG7728 0.900242 116
CG9107 CG5728 0.90013623 116
CG9107 CG30349 0.9000851 116
Hsp60C S-Lap1 0.89998555 59
CG9107 l(3)72Dn 0.89998406 116
CG9107 CG7338 0.8999149 116
CG9107 CG13096 0.89987826 116
Dbp45A hoip 0.89985806 114
CG30349 l(2)34Fd 0.8996725 116
l(1)G0020 CG1789 0.89959013 116
l(2)35Df CG5589 0.8995305 114
CG30349 l(2)35Df 0.8995228 116
l(1)G0020 hoip 0.8993986 116
l(2)34Fd CG5728 0.8989867 116
hoip CG13096 0.8989386 116
CG7728 l(2)35Df 0.898881 116
CG2875 l(2)34Fd 0.8988637 116
l(2)35Df CG9253 0.89877576 114
l(2)34Fd CG8064 0.89877063 116
l(2)35Df bys 0.89874905 116
l(2)35Df Dbp45A 0.89865434 114
l(2)34Fd CG12301 0.89864016 116
l(2)34Fd Nop56 0.89853656 116
CG1789 CG13096 0.8985228 116
l(2)35Df CG2875 0.8985058 116
l(2)34Fd l(3)07882 0.8984093 116
l(2)34Fd CG1671 0.898234 116
l(2)34Fd CG12050 0.8981771 116
hoip CG9253 0.89815557 114
l(2)34Fd CG13097 0.898082 116
l(2)35Df CG12050 0.89807945 116
l(2)35Df l(3)72Dn 0.8980298 116
l(2)35Df CG13097 0.897969 116
l(2)35Df l(3)07882 0.8979641 116
l(2)34Fd wcd 0.8979569 116
CG7728 l(2)34Fd 0.8979528 116
l(2)k09022 l(2)34Fd 0.8978942 116
CG9799 l(2)34Fd 0.8978902 116
l(2)35Df CG1671 0.8978846 116
l(2)35Df CG9799 0.8978722 116
l(2)35Df CG5728 0.8978659 116
CG12325 l(2)34Fd 0.89785963 116
l(2)35Df CG7246 0.8978584 116
l(2)34Fd l(3)72Dn 0.8978566 116
l(2)35Df CG12301 0.8978344 116
nop5 l(2)34Fd 0.8978187 116
CG11920 l(2)34Fd 0.8977852 116
CG9107 l(1)G0020 0.897701 116
l(2)35Df CG3071 0.8976516 116
CG11920 l(2)35Df 0.897644 116
betaTub85D S-Lap1 0.8976435 59
l(2)35Df CG8064 0.89759433 116
l(2)35Df l(2)k09022 0.8975833 116
CG2260 l(2)34Fd 0.8975499 116
nop5 l(2)35Df 0.89753604 116
CG2260 l(2)35Df 0.897535 116
l(2)35Df wcd 0.89752215 116
CG12325 l(2)35Df 0.8975119 116
l(2)34Fd CG7246 0.8974958 116
CG3071 l(2)34Fd 0.8974723 116
l(2)34Fd bys 0.89743495 116
l(2)34Fd CG7338 0.89738315 116
l(2)35Df Nop56 0.89735544 116
CG17376 CG31740 0.89691067 59
CG17376 Mst84Da 0.89630175 59
CG9246 pit 0.8960607 108
RpS8 CG1789 0.8950221 108
CG17376 Hsp60C 0.8949338 59
CG9107 RpS9 0.89224917 109
CG33506 CG1789 0.8914352 115
CG33506 l(2)35Df 0.8912544 115
U3-55K CG1789 0.8904425 115
CG10909 CG9253 0.8903505 110
l(1)G0004 l(2)35Df 0.8902681 115
kz l(2)34Fd 0.8901466 115
CG4866 Bka 0.890085 113
CG5589 CG10909 0.88946766 110
U3-55K hoip 0.8893332 115
Dbp45A CG10909 0.8893188 110
CG4554 CG1789 0.88905156 115
CG9107 U3-55K 0.88878006 115
CG33506 l(2)34Fd 0.8887777 115
CG5033 l(1)G0020 0.8887406 115
Mat89Ba CG1789 0.8885388 117
CG9107 CG33506 0.8884969 115
CG33506 hoip 0.8883998 115
CG3735 Bka 0.88792276 113
Mat89Ba hoip 0.88787174 117
CG9107 kz 0.8878083 115
RpS9 CG3527 0.88744044 111
Bka CG7275 0.887258 113
kz hoip 0.88725007 115
CG5033 CG13096 0.8871591 115
CG3735 l(2)34Fd 0.88715786 115
dbe Bka 0.8870318 113
l(1)G0004 Bka 0.8869711 113
CG9107 RpS16 0.8869239 107
kz CG1789 0.88684464 115
CG9107 RpS13 0.88678324 107
CG9107 Mat89Ba 0.88670826 117
CG9246 l(1)G0020 0.88561124 115
RpS9 CG1789 0.8853946 109
l(2)34Fd Mat89Ba 0.8853557 117
l(2)35Df Mat89Ba 0.8853239 117
CG4554 l(2)35Df 0.8853195 115
Bka Sas10 0.8852121 113
CG9246 CG13096 0.8849857 115
l(2)35Df CG3735 0.88465923 115
CG4554 l(2)34Fd 0.88459057 115
CG12861 CG17376 0.8845339 62
CG12861 S-Lap1 0.8844174 62
U3-55K l(2)35Df 0.88358814 115
CG9246 l(2)35Df 0.88307756 111
l(2)34Fd Sas10 0.8825954 115
l(2)35Df Sas10 0.8824259 115
CG4866 l(2)34Fd 0.88239175 115
CG4866 l(2)35Df 0.88239163 115
CG5033 l(3)72Dn 0.8823895 115
l(2)34Fd CG7275 0.882275 115
CG31740 CG31948 0.882248 60
CG9246 CG30349 0.88215494 115
dbe l(2)34Fd 0.882076 115
l(2)35Df dbe 0.88203794 115
l(2)35Df CG7275 0.88201356 115
CG5033 CG12050 0.8819636 115
U3-55K l(2)34Fd 0.8818447 115
CG5033 CG12301 0.8817154 115
CG5033 CG3071 0.881615 115
CG30349 CG5033 0.88158995 115
CG9246 CG12301 0.8813753 115
CG5033 CG2875 0.8812821 115
CG9246 CG12050 0.8812544 115
RpI135 CG5033 0.88114315 107
RpS13 hoip 0.88109684 107
l(1)G0004 l(2)34Fd 0.8810764 115
CG9246 CG3071 0.88081557 115
CG5033 CG7246 0.8807668 115
hoip RpS16 0.88065314 107
CG31740 CG13245 0.88062304 60
CG9246 CG8064 0.880592 115
CG5033 CG1671 0.88056093 115
CG5033 CG13097 0.8804821 115
CG9246 bys 0.8804252 115
CG9246 CG7246 0.8804237 115
CG2260 CG5033 0.8804061 115
CG9246 CG2875 0.8803658 115
CG9246 CG13097 0.8803462 115
Bka CG3527 0.8803057 112
CG5033 bys 0.8802112 115
CG5033 CG5728 0.8801895 115
CG5033 CG9799 0.88017875 115
CG5033 CG12325 0.8801354 115
CG11920 CG5033 0.8800802 115
CG18662 CG31740 0.880042 60
CG9246 wcd 0.8800252 115
